"","packet","WiFiArrivalTimes","LTEArrivalTimes","WiFiDelayPackets","LTEDelayPackets","WiFiSentTimes","LTESentTimes","InterArrivals","InterArrivalRevs","feedbackreceivedWiFi","feedbackreceivedLTE"
"1",1,0.0203218769684013,0.188725948334,0.0135328769684,0.188725948334,0.00678900000000127,0,0,0,0.0338547539368013,0.377451896668
"2",2,0.0209970138702403,0.214779786453002,0.00338101387024,0.203669786453,0.0176160000000003,0.0111100000000022,-0.16772893446376,0.194457909484601,0.0243780277404803,0.418449572906002
"3",3,0.0315409554901093,0.234907868439001,0.00302195549011,0.212051868439,0.0285189999999993,0.0228560000000009,-0.183238830962893,0.213910854568761,0.0345629109802193,0.446959736878001
"4",4,0.0423338388519325,0.255240941025,0.00290083885193,0.221339941025,0.0394330000000025,0.0339010000000002,-0.192574029587068,0.223699985534891,0.0452346777038625,0.47658088205
"5",5,0.0540558996429424,0.273551868240001,0.00333189964294,0.22865986824,0.0507240000000024,0.0448920000000008,-0.201185041382058,0.231218029388068,0.0573877992858824,0.502211736480001
"6",6,0.0640540141906702,0.299427846222,0.00299501419067,0.244022846222,0.0610590000000002,0.0554050000000004,-0.209497854049331,0.245371946579058,0.0670490283813402,0.543450692444
"7",7,0.0744028288879411,0.312417842773001,0.00299882888794,0.246688842773,0.0714040000000011,0.065729000000001,-0.225025017334059,0.248363828582331,0.0774016577758811,0.559106685546001
"8",8,0.084071973327642,0.331798940872001,0.00236797332764,0.255749940872,0.081704000000002,0.0760490000000011,-0.228345869445359,0.25739611198406,0.086439946655282,0.587548881744001
"9",9,0.0960809092865001,0.354002067505,0.0036199092865,0.267641067505,0.0924610000000001,0.0863610000000001,-0.235718031585501,0.269930094177358,0.0997008185730001,0.62164313501
"10",10,0.10556694255066,0.378387916550002,0.00223994255066,0.28132891655,0.103327,0.0970590000000016,-0.24843512495434,0.282307007263501,0.10780688510132,0.659716833100002
"11",11,0.11694686239624,0.396896783737001,0.00281286239624,0.288042783737,0.114134,0.108854000000001,-0.261441054153762,0.291329841186341,0.11975972479248,0.684939567474001
"12",12,0.127676859985352,0.423226885910002,0.00274085998535,0.30335688591,0.124936000000002,0.119870000000002,-0.269219923751649,0.306280023513762,0.130417719970702,0.726583771820002
"13",13,0.138578927886962,0.447450788391003,0.00279092788696,0.316662788391,0.135788000000002,0.130788000000003,-0.284647958023041,0.319773928405651,0.141369855773922,0.764113576782003
"14",14,0.14943195504761,0.472413739731001,0.00281095504761,0.330636739731,0.146621,0.141777000000001,-0.298018833343393,0.33383481184404,0.15224291009522,0.803050479462001
"15",15,0.160484684768683,0.494697932175002,0.00324368476868,0.342119932175,0.157241000000003,0.152578000000002,-0.311929054962318,0.345265977127392,0.163728369537363,0.836817864350002
"16",16,0.17081380775452,0.514932917374002,0.00315880775452,0.351764917374,0.167655,0.163168000000002,-0.323884124420482,0.35444823260532,0.17397261550904,0.866697834748002
"17",17,0.180551066421513,0.53373202652,0.00257706642151,0.36016702652,0.177974000000003,0.173565,-0.33438185095249,0.36291821876548,0.183128132843023,0.89389905304
"18",18,0.19085586753845,0.546231867218001,0.00257086753845,0.362331867218,0.188285,0.183900000000001,-0.342876158981549,0.365680800796489,0.1934267350769,0.908563734436001
"19",19,0.201197981765751,0.561113999938999,0.00261998176575,0.366888999939,0.198578000000001,0.194224999999999,-0.34503388545225,0.370258132400549,0.203817963531501,0.928002999877999
"20",20,0.21107905436707,0.582370100815001,0.00221705436707,0.377813100815,0.208862,0.204557000000001,-0.350034945571929,0.38117211904925,0.21329610873414,0.960183201630001
"21",21,0.229315924530032,0.590427986862002,0.00981092453003,0.375200986862,0.219505000000002,0.215227000000002,-0.35305417628497,0.379348932494932,0.239126849060062,0.965628973724002
"22",22,0.238575831954961,0.612650829834001,0.00823283195496,0.386531829834,0.230343000000001,0.226119000000001,-0.351852154907041,0.383334905303969,0.246808663909921,0.999182659668001
"23",23,0.251852826049801,0.619554896118,0.0086498260498,0.382577896118,0.243203000000001,0.236977,-0.360798003784199,0.380979064163038,0.260502652099601,1.002132792236
"24",24,0.264466075561502,0.635401903122,0.0101680755615,0.387533903122,0.254298000000002,0.247868,-0.355088820556497,0.383549077072199,0.274634151123002,1.022935806244
"25",25,0.26858484214783,0.646837806976,0.00339484214783,0.388024806976,0.26519,0.258813,-0.36681706097417,0.382371731414498,0.27197968429566,1.034862613952
"26",26,0.27893176657104,0.657897771819999,0.00291776657104,0.38796377182,0.276014,0.269933999999999,-0.36790604040496,0.389312929672169,0.28184953314208,1.04586154364
"27",27,0.28964590193176,0.668910917908002,0.00280690193176,0.387579917908,0.286839000000001,0.281331000000002,-0.368251869888239,0.389979151336962,0.292452803863521,1.056490835816
"28",28,0.300967050994871,0.679226967285,0.00330305099487,0.386878967285,0.297664000000001,0.292348,-0.36794386691313,0.38958106535324,0.304270101989741,1.06610593457
"29",29,0.311808939178473,0.696068985259999,0.00332593917847,0.39275598526,0.308483000000003,0.303312999999999,-0.367418028106528,0.395101934265128,0.315134878356942,1.08882497052
"30",30,0.32202987236023,0.705700978989001,0.00271487236023,0.391381978989,0.319315,0.314319000000001,-0.37403911289977,0.393892039810529,0.32474474472046,1.097082957978
"31",31,0.333712992736821,0.716254852707001,0.00354099273682,0.390972852707,0.330172000000001,0.325282000000001,-0.37198798625218,0.394224980346772,0.337253985473641,1.107227705414
"32",32,0.34371577970886,0.732283962769001,0.00271677970886,0.396039962769,0.340999,0.336244000000001,-0.372539072998141,0.39857097003218,0.34643255941772,1.128323925538
"33",33,0.354595767333982,0.738674948654001,0.00274276733398,0.391464948654,0.351853000000002,0.34721,-0.377688195435019,0.39495916894514,0.357338534667962,1.130139897308
